Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
AC006058.1,1.07E-01,3.20E-01,1.29E+00
PACSIN3,1.48E-02,8.91E-02,1.29E+00
ZNF223,5.40E-01,7.77E-01,1.29E+00
GNPNAT1,2.49E-02,1.26E-01,1.29E+00
VPS26B,5.70E-02,2.16E-01,1.29E+00
UHRF1,2.05E-02,1.11E-01,1.29E+00
LAMB1,4.63E-04,7.63E-03,1.29E+00
ISCA1,9.67E-03,6.65E-02,1.29E+00
C14orf93,2.15E-01,4.77E-01,1.29E+00
MRPL44,6.50E-02,2.35E-01,1.29E+00
SCAMP1-AS1,3.90E-02,1.71E-01,1.29E+00
AC010326.4,2.91E-01,5.64E-01,1.29E+00
SIK2,1.99E-01,4.59E-01,1.29E+00
DNHD1,3.50E-01,6.23E-01,1.29E+00
SH3BGRL3,3.50E-02,1.59E-01,1.29E+00
EDEM1,2.33E-01,4.97E-01,1.29E+00
OSTC,9.97E-02,3.05E-01,1.29E+00
MLLT1,1.22E-01,3.44E-01,1.29E+00
GNPTAB,6.44E-03,4.98E-02,1.29E+00
NCAPD3,1.67E-02,9.63E-02,1.29E+00
TBCE,1.38E-02,8.48E-02,1.29E+00
TMEM144,3.67E-01,6.41E-01,1.29E+00
MSL3,9.05E-04,1.22E-02,1.29E+00
ZNF654,1.68E-01,4.15E-01,1.29E+00
HSP90B1,3.67E-06,2.08E-04,1.29E+00
GPATCH2,3.29E-02,1.53E-01,1.29E+00
AL160236.1,2.00E-01,4.60E-01,1.29E+00
METTL16,1.56E-03,1.82E-02,1.29E+00
TMEM50A,1.90E-01,4.46E-01,1.29E+00
CUL5,1.91E-02,1.05E-01,1.29E+00
AL161431.1,2.20E-01,4.82E-01,1.29E+00
PHF6,3.20E-03,3.05E-02,1.29E+00
B4GALT6,2.95E-01,5.68E-01,1.29E+00
ZFAND3,2.83E-01,5.57E-01,1.29E+00
TNFRSF12A,4.61E-01,7.21E-01,1.29E+00
EIF1AD,3.73E-01,6.44E-01,1.29E+00
MRPL54,1.38E-02,8.49E-02,1.29E+00
HAUS8,7.45E-02,2.56E-01,1.29E+00
BCKDK,3.30E-02,1.53E-01,1.29E+00
IER2,2.25E-03,2.38E-02,1.29E+00
HNRNPA3P6,5.34E-03,4.36E-02,1.29E+00
GINS3,9.12E-02,2.89E-01,1.29E+00
ILK,3.56E-02,1.61E-01,1.29E+00
AC007996.1,2.04E-01,4.64E-01,1.29E+00
PDE7B,1.66E-01,4.13E-01,1.29E+00
KIF2A,5.60E-03,4.50E-02,1.29E+00
TLR3,9.26E-01,9.75E-01,1.29E+00
NLRX1,1.38E-01,3.69E-01,1.29E+00
XKR8,2.34E-01,4.98E-01,1.29E+00
RPL41P2,2.12E-01,4.74E-01,1.29E+00
C1orf112,1.66E-01,4.12E-01,1.29E+00
MXD4,2.80E-02,1.38E-01,1.29E+00
MRPS6,2.92E-02,1.42E-01,1.29E+00
GCAT,5.48E-01,7.83E-01,1.29E+00
GPRASP2,1.82E-01,4.34E-01,1.28E+00
AL583856.1,1.76E-01,4.27E-01,1.28E+00
SS18,1.01E-01,3.07E-01,1.28E+00
FADS1,5.33E-05,1.56E-03,1.28E+00
GNS,2.34E-02,1.21E-01,1.28E+00
APLP2,1.71E-04,3.74E-03,1.28E+00
NAP1L1,1.37E-02,8.45E-02,1.28E+00
AL049873.1,4.75E-01,7.31E-01,1.28E+00
MIR29B2CHG,2.54E-01,5.22E-01,1.28E+00
HIST3H2A,1.96E-01,4.53E-01,1.28E+00
EGLN1,5.46E-02,2.11E-01,1.28E+00
SNX29,2.79E-01,5.52E-01,1.28E+00
AL512844.1,2.70E-01,5.41E-01,1.28E+00
ZNF35,2.86E-01,5.60E-01,1.28E+00
CBL,1.61E-02,9.38E-02,1.28E+00
AC093525.7,5.02E-01,7.54E-01,1.28E+00
NMI,3.83E-03,3.47E-02,1.28E+00
DDIT4,1.91E-01,4.46E-01,1.28E+00
MVD,8.00E-02,2.67E-01,1.28E+00
SRP72P2,1.60E-01,4.04E-01,1.28E+00
NEK7,1.91E-01,4.46E-01,1.28E+00
ISOC1,5.21E-01,7.66E-01,1.28E+00
ERG28,3.48E-01,6.23E-01,1.28E+00
IRF2,7.06E-02,2.46E-01,1.28E+00
RRP36,1.32E-02,8.26E-02,1.28E+00
GATB,1.31E-01,3.59E-01,1.28E+00
RPSAP58,1.73E-01,4.23E-01,1.28E+00
GSS,5.73E-02,2.17E-01,1.28E+00
POLE2,5.32E-02,2.08E-01,1.28E+00
BX890604.1,8.87E-02,2.84E-01,1.28E+00
DHFR2,5.56E-02,2.13E-01,1.28E+00
HNRNPAB,3.78E-03,3.45E-02,1.28E+00
EDEM3,6.37E-02,2.31E-01,1.28E+00
GSPT2,8.97E-02,2.86E-01,1.28E+00
FANCG,6.33E-02,2.30E-01,1.28E+00
RPS6KC1,1.02E-01,3.09E-01,1.28E+00
CCDC124,5.04E-02,2.00E-01,1.28E+00
SNRPCP2,5.90E-01,8.12E-01,1.28E+00
MED7,8.40E-02,2.75E-01,1.28E+00
PSMG1,1.39E-01,3.71E-01,1.28E+00
RNH1,1.32E-03,1.61E-02,1.28E+00
AHCYL2,5.37E-01,7.76E-01,1.28E+00
PSMA5,5.19E-01,7.65E-01,1.28E+00
CDC42EP4,2.21E-01,4.83E-01,1.28E+00
HSP90AA1,1.49E-04,3.39E-03,1.28E+00
HNRNPU,1.08E-01,3.21E-01,1.28E+00
AKAP8L,1.28E-01,3.53E-01,1.28E+00
SNORD26,4.10E-01,6.77E-01,1.28E+00
PNRC2P1,7.34E-01,8.96E-01,1.28E+00
ANAPC10,3.09E-01,5.84E-01,1.28E+00
RPS20,7.30E-04,1.06E-02,1.28E+00
AHR,3.92E-02,1.71E-01,1.28E+00
RPS18P9,3.28E-01,6.03E-01,1.28E+00
CCDC91,9.90E-02,3.04E-01,1.28E+00
AC087190.3,4.66E-01,7.25E-01,1.28E+00
DOCK9,2.10E-01,4.71E-01,1.28E+00
U2AF1,3.34E-01,6.10E-01,1.28E+00
SLU7,2.21E-03,2.35E-02,1.28E+00
ZC3H11A,3.18E-03,3.04E-02,1.28E+00
ZNF70,2.12E-01,4.74E-01,1.28E+00
PAIP1,1.71E-01,4.21E-01,1.28E+00
TTC8,8.85E-01,9.61E-01,1.28E+00
ING2,1.75E-02,9.93E-02,1.28E+00
ID3,5.28E-01,7.69E-01,1.28E+00
UBALD2,1.85E-01,4.39E-01,1.28E+00
FOXRED1,1.18E-01,3.37E-01,1.28E+00
TXNIP,4.55E-01,7.17E-01,1.28E+00
FKBP5,3.10E-02,1.47E-01,1.28E+00
TIGD1,2.47E-01,5.13E-01,1.28E+00
POLR1E,1.72E-02,9.84E-02,1.28E+00
RMDN1,1.28E-02,8.11E-02,1.28E+00
RPS2P5,7.87E-01,9.23E-01,1.28E+00
SLC39A13,3.30E-01,6.04E-01,1.28E+00
SNHG7,4.98E-01,7.52E-01,1.28E+00
DHX29,1.28E-02,8.11E-02,1.28E+00
ZFP14,2.29E-01,4.92E-01,1.28E+00
C11orf95,3.07E-01,5.80E-01,1.28E+00
TBC1D17,2.12E-01,4.74E-01,1.28E+00
TRAPPC10,8.71E-02,2.81E-01,1.28E+00
ILF3,1.69E-03,1.93E-02,1.28E+00
SEC61G,6.65E-01,8.58E-01,1.28E+00
OTULIN,7.98E-02,2.67E-01,1.28E+00
C12orf43,6.79E-02,2.40E-01,1.28E+00
G6PD,1.24E-01,3.46E-01,1.28E+00
ZSWIM9,3.12E-01,5.86E-01,1.28E+00
RCC1,2.44E-01,5.09E-01,1.28E+00
PSME2,3.10E-02,1.47E-01,1.28E+00
SDCBP,5.25E-01,7.68E-01,1.28E+00
ATP1B3,4.02E-03,3.59E-02,1.28E+00
SRP54-AS1,3.98E-01,6.67E-01,1.28E+00
MAPK8IP3,2.24E-01,4.87E-01,1.28E+00
NABP2,8.57E-03,6.15E-02,1.28E+00
TUBA1B,4.04E-02,1.74E-01,1.28E+00
NUDT17,3.57E-01,6.31E-01,1.28E+00
ETNK1,2.75E-01,5.48E-01,1.28E+00
HMCES,4.51E-01,7.15E-01,1.28E+00
APOBEC3B,8.08E-01,9.31E-01,1.28E+00
CKAP5,2.60E-04,5.05E-03,1.28E+00
ADNP2,3.46E-01,6.20E-01,1.28E+00
RANBP3,1.43E-02,8.69E-02,1.27E+00
JAG1,2.62E-03,2.67E-02,1.27E+00
CRYBG3,5.73E-02,2.17E-01,1.27E+00
CEP83,2.97E-02,1.43E-01,1.27E+00
BNIP1,1.86E-01,4.40E-01,1.27E+00
ZNHIT3,1.11E-01,3.26E-01,1.27E+00
NXN,8.24E-02,2.72E-01,1.27E+00
TTC21B,1.94E-01,4.52E-01,1.27E+00
TWF1,2.20E-01,4.82E-01,1.27E+00
CCDC126,5.10E-01,7.59E-01,1.27E+00
ZBTB49,2.47E-01,5.13E-01,1.27E+00
GASAL1,3.34E-01,6.09E-01,1.27E+00
RRAGC,8.78E-02,2.83E-01,1.27E+00
PKD1,3.24E-01,5.98E-01,1.27E+00
CC2D1A,8.24E-02,2.72E-01,1.27E+00
DNTTIP1,2.66E-02,1.33E-01,1.27E+00
AP006222.1,5.48E-01,7.83E-01,1.27E+00
RBM34,2.75E-03,2.75E-02,1.27E+00
ZBTB21,1.51E-01,3.90E-01,1.27E+00
AC068631.3,5.73E-01,8.02E-01,1.27E+00
CCAR2,1.40E-01,3.72E-01,1.27E+00
CTNNB1,1.28E-01,3.53E-01,1.27E+00
CLCN4,9.28E-02,2.91E-01,1.27E+00
BCAS2,2.00E-02,1.08E-01,1.27E+00
SCARB1,1.50E-01,3.88E-01,1.27E+00
AL121871.1,8.84E-02,2.84E-01,1.27E+00
SERF1A,1.00E-01,3.06E-01,1.27E+00
ATP5PDP4,3.67E-01,6.40E-01,1.27E+00
PSMC1P1,4.51E-02,1.87E-01,1.27E+00
AC142472.1,2.56E-01,5.24E-01,1.27E+00
UBP1,3.27E-02,1.53E-01,1.27E+00
DHX40,4.10E-04,7.00E-03,1.27E+00
PSMA6,2.08E-01,4.69E-01,1.27E+00
PIGK,2.89E-01,5.63E-01,1.27E+00
XRCC6P2,5.73E-01,8.02E-01,1.27E+00
ELOF1,6.77E-02,2.40E-01,1.27E+00
SIPA1L3,1.49E-01,3.87E-01,1.27E+00
SETD6,1.06E-01,3.18E-01,1.27E+00
AC068547.1,5.78E-01,8.04E-01,1.27E+00
SLC36A1,4.21E-01,6.86E-01,1.27E+00
EML1,7.98E-02,2.67E-01,1.27E+00
ZC3H14,1.96E-02,1.07E-01,1.27E+00
ZNF510,1.87E-01,4.42E-01,1.27E+00
CTSF,1.20E-01,3.41E-01,1.27E+00
AKAP8,1.37E-02,8.45E-02,1.27E+00
NAGPA,1.78E-01,4.30E-01,1.27E+00
RPGR,6.01E-02,2.23E-01,1.27E+00
ZNF337-AS1,4.15E-01,6.82E-01,1.27E+00
GPRC5D-AS1,4.06E-01,6.74E-01,1.27E+00
LINC01881,3.12E-01,5.85E-01,1.27E+00
TCIRG1,6.30E-01,8.36E-01,1.27E+00
RASSF7,1.84E-01,4.38E-01,1.27E+00
KRI1,4.68E-02,1.90E-01,1.27E+00
TWSG1,3.11E-01,5.85E-01,1.27E+00
AC008725.1,2.50E-02,1.27E-01,1.27E+00
JUNB,4.29E-01,6.94E-01,1.27E+00
TRNP1,1.25E-03,1.55E-02,1.27E+00
ENO1P1,6.77E-01,8.65E-01,1.27E+00
DYRK1B,2.54E-01,5.22E-01,1.27E+00
RBMX2P5,6.94E-01,8.75E-01,1.27E+00
ASB16-AS1,2.10E-01,4.72E-01,1.27E+00
TRPC4AP,2.44E-01,5.10E-01,1.27E+00
PUS3,1.56E-01,4.00E-01,1.27E+00
AC016876.2,6.18E-01,8.29E-01,1.27E+00
GK,5.24E-01,7.68E-01,1.27E+00
ADRB1,3.48E-01,6.22E-01,1.27E+00
SUMF1,1.45E-01,3.81E-01,1.27E+00
NUDCD1,2.73E-01,5.45E-01,1.27E+00
YTHDC2,2.58E-01,5.27E-01,1.27E+00
DDX47,1.77E-01,4.29E-01,1.27E+00
PIPSL,5.48E-01,7.83E-01,1.27E+00
UBQLN2,2.07E-01,4.68E-01,1.27E+00
FAF2,7.57E-02,2.58E-01,1.27E+00
HKR1,2.59E-01,5.28E-01,1.27E+00
CCDC84,6.73E-02,2.39E-01,1.27E+00
MIS18BP1,5.31E-02,2.07E-01,1.27E+00
AL133477.1,1.17E-01,3.37E-01,1.27E+00
SPC25,4.33E-02,1.82E-01,1.27E+00
SETD4,2.76E-01,5.48E-01,1.27E+00
TMEM87B,5.90E-02,2.21E-01,1.27E+00
QSOX1,2.25E-02,1.18E-01,1.27E+00
ZNF606,5.40E-01,7.77E-01,1.27E+00
CENPN,2.40E-01,5.05E-01,1.27E+00
DNAL1,5.95E-02,2.22E-01,1.26E+00
THOC5,6.50E-02,2.35E-01,1.26E+00
TRIM41,1.26E-01,3.50E-01,1.26E+00
DPYSL2,4.41E-03,3.82E-02,1.26E+00
B3GALNT2,2.22E-01,4.84E-01,1.26E+00
AL592293.2,1.74E-01,4.24E-01,1.26E+00
SSBP3,2.07E-01,4.68E-01,1.26E+00
FARP2,5.16E-02,2.03E-01,1.26E+00
SAFB2,2.92E-03,2.85E-02,1.26E+00
TBC1D7,4.21E-01,6.86E-01,1.26E+00
NDUFB3,6.59E-01,8.55E-01,1.26E+00
RYBP,5.81E-03,4.63E-02,1.26E+00
CCDC125,1.11E-01,3.26E-01,1.26E+00
COQ7,1.46E-01,3.83E-01,1.26E+00
NEPRO,1.75E-02,9.93E-02,1.26E+00
EXD2,1.41E-01,3.75E-01,1.26E+00
PGPEP1,1.51E-01,3.91E-01,1.26E+00
RPL23AP82,1.50E-01,3.89E-01,1.26E+00
TIMM10B,7.71E-02,2.61E-01,1.26E+00
CENPCP1,7.83E-01,9.21E-01,1.26E+00
ZBTB43,2.48E-02,1.26E-01,1.26E+00
HIST1H2AC,3.15E-01,5.88E-01,1.26E+00
FEZ2,3.64E-02,1.64E-01,1.26E+00
DMAP1,1.61E-01,4.06E-01,1.26E+00
LINC00174,5.84E-01,8.08E-01,1.26E+00
MRPL51,1.87E-02,1.04E-01,1.26E+00
GSKIP,2.90E-01,5.64E-01,1.26E+00
BICRA,6.06E-02,2.24E-01,1.26E+00
TIGD7,4.09E-01,6.77E-01,1.26E+00
RPL26,1.58E-02,9.28E-02,1.26E+00
CASKIN2,2.02E-01,4.62E-01,1.26E+00
FAHD2A,3.38E-01,6.13E-01,1.26E+00
UBE4A,6.61E-02,2.37E-01,1.26E+00
ASB8,5.74E-02,2.17E-01,1.26E+00
FBXL20,6.71E-02,2.39E-01,1.26E+00
EIF4A1,3.84E-04,6.66E-03,1.26E+00
RWDD4,3.10E-01,5.84E-01,1.26E+00
TENT2,3.23E-01,5.98E-01,1.26E+00
USP24,1.08E-01,3.21E-01,1.26E+00
ORC1,1.15E-01,3.33E-01,1.26E+00
CYB5B,2.37E-01,5.02E-01,1.26E+00
ZSCAN12,5.77E-01,8.04E-01,1.26E+00
ODR4,1.66E-02,9.61E-02,1.26E+00
CCDC86,1.07E-02,7.17E-02,1.26E+00
CALM1,4.59E-05,1.40E-03,1.26E+00
MIR17HG,4.98E-01,7.52E-01,1.26E+00
ZNF669,5.18E-01,7.64E-01,1.26E+00
AC008878.3,2.15E-01,4.78E-01,1.26E+00
EEF1A1,6.04E-01,8.22E-01,1.26E+00
HAUS6,1.91E-02,1.06E-01,1.26E+00
ITPK1,1.85E-02,1.04E-01,1.26E+00
TRAPPC8,8.40E-02,2.75E-01,1.26E+00
EIF1B,1.38E-01,3.70E-01,1.26E+00
NCSTN,7.85E-01,9.22E-01,1.26E+00
Z83843.1,5.31E-01,7.72E-01,1.26E+00
SRSF1,4.64E-01,7.24E-01,1.26E+00
DNAJC18,1.87E-01,4.43E-01,1.26E+00
CMTR2,1.17E-01,3.37E-01,1.26E+00
PITPNA,8.82E-02,2.84E-01,1.26E+00
TIFA,3.01E-01,5.75E-01,1.26E+00
KRBA2,3.63E-01,6.37E-01,1.26E+00
PSMB6,4.61E-04,7.61E-03,1.26E+00
L3MBTL2,7.01E-02,2.45E-01,1.26E+00
APBA3,2.86E-01,5.60E-01,1.26E+00
EBF1,4.71E-01,7.28E-01,1.26E+00
TMEM35B,6.68E-01,8.60E-01,1.26E+00
VIPAS39,7.56E-02,2.58E-01,1.26E+00
MAGED1,5.37E-02,2.09E-01,1.26E+00
RPL5P34,1.59E-01,4.03E-01,1.26E+00
CBWD3,2.91E-01,5.64E-01,1.26E+00
FTSJ3,3.93E-02,1.71E-01,1.26E+00
CAPN7,4.56E-02,1.88E-01,1.26E+00
CPT1C,1.83E-01,4.36E-01,1.26E+00
CELF1,1.30E-02,8.15E-02,1.26E+00
AC093323.1,1.89E-01,4.45E-01,1.26E+00
FPGT,2.57E-01,5.26E-01,1.26E+00
TIMM8B,2.26E-02,1.18E-01,1.26E+00
PCSK7,3.90E-02,1.71E-01,1.26E+00
METAP1,3.83E-03,3.47E-02,1.26E+00
LINC01588,2.15E-01,4.77E-01,1.26E+00
SLC30A5,3.43E-01,6.18E-01,1.26E+00
LMO7,1.38E-03,1.67E-02,1.26E+00
MIR100HG,2.75E-01,5.47E-01,1.26E+00
PSEN1,2.99E-02,1.44E-01,1.26E+00
TSPAN5,5.94E-02,2.22E-01,1.26E+00
HMGN2P5,1.83E-01,4.36E-01,1.26E+00
MCCC2,2.84E-01,5.58E-01,1.26E+00
LSM11,1.35E-01,3.64E-01,1.26E+00
TAF5L,3.04E-01,5.78E-01,1.26E+00
PDCD5,2.42E-01,5.07E-01,1.26E+00
NR3C1,4.45E-04,7.42E-03,1.26E+00
EXOSC3,4.86E-01,7.41E-01,1.26E+00
EPS8,1.66E-02,9.61E-02,1.26E+00
VPS4B,8.76E-03,6.25E-02,1.26E+00
SH3GL1,1.62E-02,9.47E-02,1.26E+00
API5P1,5.73E-01,8.03E-01,1.25E+00
ANKRD33B,9.65E-02,2.99E-01,1.25E+00
ZC3H7B,3.12E-01,5.86E-01,1.25E+00
NUDC,8.64E-03,6.19E-02,1.25E+00
SNW1,6.81E-03,5.19E-02,1.25E+00
MCM9,3.18E-01,5.91E-01,1.25E+00
AC113935.1,4.66E-01,7.25E-01,1.25E+00
SNRNP35,1.90E-01,4.46E-01,1.25E+00
SKIV2L,8.47E-02,2.76E-01,1.25E+00
KIF9,1.77E-01,4.28E-01,1.25E+00
ZNF485,4.39E-01,7.04E-01,1.25E+00
IMPACT,7.42E-02,2.56E-01,1.25E+00
ZNF225,4.19E-01,6.86E-01,1.25E+00
SNHG5,1.25E-01,3.48E-01,1.25E+00
AC000123.3,4.01E-01,6.69E-01,1.25E+00
AAMP,5.94E-01,8.15E-01,1.25E+00
ALKBH2,1.88E-01,4.44E-01,1.25E+00
FAM161A,1.00E-02,6.84E-02,1.25E+00
ANKFY1,1.70E-02,9.77E-02,1.25E+00
MOB1B,2.44E-01,5.09E-01,1.25E+00
KLHL2,4.41E-01,7.06E-01,1.25E+00
DOCK4,2.14E-01,4.77E-01,1.25E+00
EIF2B2,1.07E-01,3.20E-01,1.25E+00
AC083798.2,5.26E-01,7.68E-01,1.25E+00
BSG,1.95E-01,4.52E-01,1.25E+00
ZNF420,5.07E-01,7.57E-01,1.25E+00
ZNF585A,3.75E-01,6.46E-01,1.25E+00
U2AF1L4,4.13E-01,6.80E-01,1.25E+00
RFT1,5.21E-01,7.66E-01,1.25E+00
SERBP1P6,3.92E-01,6.62E-01,1.25E+00
C9orf3,1.33E-01,3.62E-01,1.25E+00
DPP7,5.21E-01,7.66E-01,1.25E+00
MRPL3,3.59E-01,6.33E-01,1.25E+00
MYC,8.70E-01,9.55E-01,1.25E+00
CCDC115,4.38E-01,7.03E-01,1.25E+00
EFNB1,5.72E-01,8.01E-01,1.25E+00
AL157713.1,3.23E-01,5.98E-01,1.25E+00
TMTC3,1.25E-01,3.48E-01,1.25E+00
C8orf82,8.66E-02,2.81E-01,1.25E+00
AUH,5.57E-01,7.91E-01,1.25E+00
DNAJC14,5.85E-01,8.09E-01,1.25E+00
FAM32A,4.42E-03,3.83E-02,1.25E+00
PDE4B,4.01E-01,6.70E-01,1.25E+00
SIAH2,1.22E-01,3.44E-01,1.25E+00
NBPF3,4.15E-01,6.82E-01,1.25E+00
SNHG8,2.96E-01,5.69E-01,1.25E+00
ANKRD42,2.28E-01,4.91E-01,1.25E+00
AC073610.2,3.86E-01,6.56E-01,1.25E+00
RPL31,1.57E-01,4.00E-01,1.25E+00
CCDC14,2.10E-03,2.26E-02,1.25E+00
UBA5,5.62E-02,2.14E-01,1.25E+00
MRPS28,2.93E-02,1.42E-01,1.25E+00
UNG,9.65E-02,2.99E-01,1.25E+00
HSPA4,1.99E-04,4.21E-03,1.25E+00
BPNT1,2.22E-01,4.85E-01,1.25E+00
FAM111A-DT,3.15E-01,5.89E-01,1.25E+00
WDR55,4.08E-02,1.76E-01,1.25E+00
PSMD13,7.74E-03,5.70E-02,1.25E+00
WDR83OS,2.02E-02,1.09E-01,1.25E+00
MRPL22,1.47E-01,3.84E-01,1.25E+00
PSMB4,2.15E-01,4.78E-01,1.25E+00
AC107075.1,6.96E-01,8.76E-01,1.25E+00
DDX10,9.57E-03,6.61E-02,1.25E+00
NAMPT,3.66E-01,6.40E-01,1.25E+00
CD47,6.01E-02,2.23E-01,1.25E+00
PRPF8,3.78E-01,6.50E-01,1.25E+00
AL136126.1,3.81E-01,6.52E-01,1.25E+00
ZW10,5.54E-02,2.12E-01,1.25E+00
RPL17,7.01E-03,5.32E-02,1.25E+00
MYH10,1.90E-02,1.05E-01,1.25E+00
ARSJ,2.38E-01,5.03E-01,1.25E+00
CU638689.4,5.27E-01,7.69E-01,1.25E+00
KIFAP3,1.65E-01,4.12E-01,1.25E+00
SEMA3C,2.75E-02,1.36E-01,1.25E+00
NR1D2,3.02E-01,5.76E-01,1.25E+00
ATG2B,1.48E-01,3.86E-01,1.25E+00
CKMT2-AS1,5.04E-01,7.56E-01,1.25E+00
ITGAE,3.36E-01,6.11E-01,1.25E+00
ZC3H12C,1.92E-01,4.48E-01,1.25E+00
MATR3,1.19E-04,2.85E-03,1.25E+00
SNRPEP2,8.27E-01,9.39E-01,1.25E+00
DCBLD2,1.48E-02,8.90E-02,1.25E+00
ILVBL,8.06E-02,2.68E-01,1.25E+00
GPX4,3.58E-02,1.62E-01,1.25E+00
CNN3,4.91E-02,1.97E-01,1.25E+00
DPP9,1.01E-01,3.07E-01,1.25E+00
PRKCI,1.48E-01,3.85E-01,1.25E+00
RPL5P4,2.45E-02,1.25E-01,1.25E+00
NFRKB,8.26E-02,2.72E-01,1.25E+00
RAB11B,2.13E-02,1.14E-01,1.25E+00
TRAF1,5.62E-01,7.95E-01,1.25E+00
MED6,3.37E-02,1.56E-01,1.25E+00
LINC00324,1.85E-01,4.40E-01,1.25E+00
CHMP2B,1.04E-01,3.13E-01,1.25E+00
YDJC,1.00E-01,3.06E-01,1.25E+00
PSMD6,9.60E-02,2.99E-01,1.25E+00
TRIM52,9.87E-02,3.04E-01,1.25E+00
VPS26C,2.32E-01,4.95E-01,1.25E+00
PRMT2,5.04E-02,2.00E-01,1.25E+00
ANXA2P2,2.17E-01,4.79E-01,1.25E+00
RPAIN,3.81E-01,6.52E-01,1.25E+00
TSPYL2,2.40E-01,5.05E-01,1.25E+00
ZBTB6,2.11E-01,4.73E-01,1.25E+00
CYBRD1,2.62E-01,5.32E-01,1.25E+00
HSD17B11,9.77E-02,3.01E-01,1.25E+00
SARNP,1.65E-01,4.11E-01,1.25E+00
APBB1,3.31E-01,6.06E-01,1.25E+00
SGCB,3.41E-01,6.15E-01,1.25E+00
GCC2,3.37E-02,1.56E-01,1.24E+00
AL355032.1,1.33E-01,3.61E-01,1.24E+00
RPL37P23,7.14E-01,8.85E-01,1.24E+00
TBL2,1.62E-01,4.07E-01,1.24E+00
LYRM1,7.15E-02,2.49E-01,1.24E+00
GLRX,4.09E-01,6.77E-01,1.24E+00
RIOK2,1.87E-01,4.41E-01,1.24E+00
AC007160.1,4.47E-01,7.10E-01,1.24E+00
RABEP1,2.17E-03,2.32E-02,1.24E+00
H2AFJ,3.75E-02,1.67E-01,1.24E+00
TELO2,4.88E-01,7.43E-01,1.24E+00
PHLPP1,1.77E-01,4.28E-01,1.24E+00
PAX9,5.71E-01,8.01E-01,1.24E+00
MOAP1,2.69E-01,5.40E-01,1.24E+00
IPO7,1.74E-03,1.96E-02,1.24E+00
ATXN7L1,1.96E-01,4.54E-01,1.24E+00
FOXRED2,1.48E-02,8.91E-02,1.24E+00
PSMD10,1.29E-01,3.54E-01,1.24E+00
NAGK,1.00E-01,3.06E-01,1.24E+00
EIF2S2P2,4.74E-01,7.31E-01,1.24E+00
PIGN,6.68E-02,2.38E-01,1.24E+00
BLOC1S5-TXNDC5,6.35E-01,8.39E-01,1.24E+00
P2RX5,5.47E-02,2.11E-01,1.24E+00
TRAF2,8.68E-02,2.81E-01,1.24E+00
NKRF,1.33E-01,3.62E-01,1.24E+00
MSH5,4.41E-01,7.06E-01,1.24E+00
LINC01963,4.65E-01,7.24E-01,1.24E+00
DIXDC1,1.75E-01,4.26E-01,1.24E+00
PBX3,9.40E-02,2.94E-01,1.24E+00
MBD5,1.67E-01,4.14E-01,1.24E+00
API5,2.35E-01,4.98E-01,1.24E+00
TRMT10C,1.39E-02,8.52E-02,1.24E+00
TXNDC16,3.92E-01,6.62E-01,1.24E+00
CENPS,2.24E-02,1.18E-01,1.24E+00
PSAT1,3.12E-01,5.85E-01,1.24E+00
PSMB7,4.33E-03,3.77E-02,1.24E+00
TALDO1,4.76E-04,7.78E-03,1.24E+00
FAM86DP,5.27E-02,2.06E-01,1.24E+00
LINC00667,2.71E-01,5.42E-01,1.24E+00
CLK4,2.03E-01,4.63E-01,1.24E+00
NARF,8.60E-02,2.80E-01,1.24E+00
PSMB2,1.10E-01,3.24E-01,1.24E+00
FGFR1OP2,1.12E-01,3.28E-01,1.24E+00
DNAJC10,3.30E-03,3.10E-02,1.24E+00
AC008969.1,8.84E-01,9.60E-01,1.24E+00
ZFHX3,2.53E-03,2.60E-02,1.24E+00
GRSF1,1.20E-01,3.40E-01,1.24E+00
ZSCAN9,6.65E-01,8.58E-01,1.24E+00
RPL28,6.04E-02,2.24E-01,1.24E+00
POLH,2.92E-01,5.65E-01,1.24E+00
COA6,4.24E-01,6.89E-01,1.24E+00
ZCCHC7,1.99E-02,1.08E-01,1.24E+00
BOD1L1,4.69E-03,3.97E-02,1.24E+00
TMEM126B,8.23E-02,2.72E-01,1.24E+00
DLGAP4,6.31E-02,2.30E-01,1.24E+00
PLPP5,1.72E-01,4.22E-01,1.24E+00
FOXN2,2.13E-01,4.75E-01,1.24E+00
AC091492.1,7.91E-01,9.24E-01,1.24E+00
SLC25A28,2.31E-01,4.94E-01,1.24E+00
TCN2,3.60E-01,6.34E-01,1.24E+00
C21orf91,6.15E-01,8.28E-01,1.24E+00
RALB,1.06E-01,3.17E-01,1.24E+00
RPL34P27,1.23E-01,3.45E-01,1.24E+00
NDUFA11,2.16E-02,1.14E-01,1.24E+00
SLC45A4,1.57E-01,4.00E-01,1.24E+00
C6orf62,4.13E-02,1.77E-01,1.24E+00
FBXO10,8.46E-01,9.48E-01,1.24E+00
CRTAP,2.40E-01,5.05E-01,1.24E+00
TMPO,7.52E-02,2.57E-01,1.24E+00
KCNK1,2.24E-01,4.87E-01,1.24E+00
EFCAB2,1.75E-01,4.26E-01,1.24E+00
